O	Some
O	moons
O	after
O	the
O	council
O	when
O	the
O	birds
O	chose
O	their
O	feathered
O	suits
O	,
O	a
O	second
O	council
O	was
O	called
O	.
O	The
O	purpose
O	of
O	this
O	council
O	was
O	to
O	see
O	which
O	bird
O	could
O	fly
O	to
O	heaven
O	,
O	and
O	bring
O	a
O	song
O	to
O	earth
O	.
O	When
O	all
O	the
O	birds
O	had
O	arrived
O	and
O	were
O	perched
O	upon
O	the
O	council
O	tree
O	,
O	the
O	wise
O	old
O	owl
O	spoke
O	.
O	"""Friends"
O	and
O	brothers
O	,
O	listen
O	,
O	""""
O	said
O	the
O	owl
O	.
O	"""Many"
O	of
O	you
O	have
O	strong
O	wings
O	,
O	but
O	your
O	voices
O	are
O	not
O	beautiful
O	.
O	High
O	,
O	high
O	up
O	in
O	the
O	sky
O	,
O	a
O	long
O	trail
O	beyond
O	the
O	clouds
O	,
O	is
O	the
O	Happy
O	Hunting
O	Ground
O	.
O	"""There"
O	live
O	all
O	our
O	brothers
O	of
O	the
O	wood
O	,
O	whom
O	the
O	Great
O	Spirit
O	has
O	called
O	.
O	They
O	sing
O	songs
O	more
O	beautiful
O	than
O	any
O	heard
O	on
O	earth
O	.
O	"""The"
O	bird
O	that
O	can
O	fly
O	beyond
O	the
O	clouds
O	will
O	hear
O	that
O	singing
O	.
O	He
O	shall
O	bring
O	a
O	song
O	to
O	earth
O	.
O	Who
O	will
O	fly
O	the
O	Great
O	Sky
O	Trail
O	,
O	and
O	bring
O	a
O	song
O	to
O	earth
O	?
O	Who-whoo
O	!
O	Who-whoo
O	!
O	Who-whoo
O	!
O	""""
O	At
O	this
O	,
O	all
O	the
O	birds
O	that
O	were
O	swift
O	of
O	wing
O	flew
O	high
O	in
O	the
O	air
O	.
O	They
O	circled
O	round
O	and
O	round
O	to
O	show
O	their
O	skill
O	.
O	Then
O	they
O	disappeared
O	in
O	the
O	clouds
O	.
O	But
O	one
O	by
O	one
O	they
O	dropped
O	to
O	earth;
O	for
O	when
O	they
O	had
O	reached
O	the
O	Great
O	Sky
O	Trail
O	beyond
O	the
O	clouds
O	,
O	they
O	were
O	too
O	tired
O	to
O	take
O	it
O	.
O	At
O	last
O	the
O	eagle
O	arose
O	and
O	stretched
O	his
O	great
O	wings
O	.
O	"""Listen"
O	,
O	""""
O	he
O	said
O	,
O	"""for"
O	the
O	Chief
O	of
O	Birds
O	speaks
O	.
O	No
O	other
O	bird
O	is
O	so
O	swift
O	and
O	so
O	strong
O	as
O	the
O	eagle
O	.
O	He
O	has
O	circled
O	the
O	earth
O	.
O	He
O	has
O	flown
O	to
O	the
O	rim
O	of
O	the
O	world
O	.
O	The
O	eagle
O	will
O	fly
O	the
O	Great
O	Sky
O	Trail
O	and
O	bring
O	the
O	song
O	to
O	earth
O	.
O	""""
O	A
O	little
O	brown
O	thrush
O	sat
O	near
O	the
O	eagle
O	.
